IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.201.245,8080,8080,FALSE,SIN,Asia Pacific,Singapore,206,17.48
47.236.168.17,8880,8880,FALSE,SIN,Asia Pacific,Singapore,219,15.65
47.236.165.25,2086,2086,FALSE,SIN,Asia Pacific,Singapore,213,14.81
47.236.172.71,2086,2086,FALSE,SIN,Asia Pacific,Singapore,222,13.74
34.150.29.153,443,80,FALSE,SIN,Asia Pacific,Singapore,47,13.73
47.236.121.23,2086,2086,FALSE,SIN,Asia Pacific,Singapore,203,13.05
47.236.170.225,8443,8443,TRUE,SIN,Asia Pacific,Singapore,205,12.75
47.237.95.13,8080,8080,FALSE,SIN,Asia Pacific,Singapore,195,12.59
8.219.237.250,2053,2053,TRUE,SIN,Asia Pacific,Singapore,209,12.27
8.222.164.209,8443,8443,TRUE,SIN,Asia Pacific,Singapore,206,11.98
8.222.164.209,2087,2087,TRUE,SIN,Asia Pacific,Singapore,220,11.97
47.236.171.205,2052,2052,FALSE,SIN,Asia Pacific,Singapore,189,11.75
8.222.164.209,2096,2096,TRUE,SIN,Asia Pacific,Singapore,211,11.45
8.219.237.250,2096,2096,TRUE,SIN,Asia Pacific,Singapore,215,11.27
47.236.144.208,80,80,FALSE,SIN,Asia Pacific,Singapore,203,10.2
47.237.86.185,2082,2082,FALSE,SIN,Asia Pacific,Singapore,192,10.17
47.236.150.13,2052,2052,FALSE,SIN,Asia Pacific,Singapore,192,10.07
47.236.168.17,2086,2086,FALSE,SIN,Asia Pacific,Singapore,228,10.03
47.76.159.146,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,31,18.21
8.218.18.132,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,24,16.93
8.218.243.95,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,22,16.92
8.217.145.40,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,26,15.59
47.76.233.67,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,27,13.77
47.76.159.146,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,35,13.52
8.218.243.95,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,30,12.93
47.238.43.79,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,24,12.85
8.218.174.118,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,31,12.39
47.76.159.146,80,80,FALSE,HKG,Asia Pacific,Hong Kong,29,12.09
8.217.145.40,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,31,12.06
47.238.43.79,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,23,11.76
